review_id,customer_id,product_id,review_text,rating,purchase_category,purchase_amount
R00001,C00001,P0001,"Shipping took too long, bad customer service.",1,Books,380.67
R00002,C00002,P0002,"Broke within a week, very disappointed.",1,Toys,268.58
R00003,C00003,P0003,"Average quality, nothing special.",3,Books,249.11
R00004,C00004,P0004,"Broke within a week, very disappointed.",2,Books,218.26
R00005,C00005,P0005,"Worst purchase ever, do not recommend.",2,Toys,283.41
R00006,C00006,P0006,"Terrible experience, never buying again.",2,Electronics,346.42
R00007,C00007,P0007,"Worst purchase ever, do not recommend.",1,Electronics,56.08
R00008,C00008,P0008,"Great product, works perfectly!",5,Toys,448.48
R00009,C00009,P0009,"Not worth the money, poor quality.",1,Electronics,119.5
R00010,C00010,P0010,"Great product, works perfectly!",5,Books,433.94
R00011,C00011,P0011,Amazing quality and very durable.,4,Electronics,106.45
R00012,C00012,P0012,"Shipping took too long, bad customer service.",1,Home Decor,209.12
R00013,C00013,P0013,"Broke within a week, very disappointed.",1,Books,498.0
R00014,C00014,P0014,"Not worth the money, poor quality.",1,Toys,40.94
R00015,C00015,P0015,"Broke within a week, very disappointed.",2,Home Decor,342.08
R00016,C00016,P0016,"Not worth the money, poor quality.",2,Books,488.08
R00017,C00017,P0017,Amazing quality and very durable.,5,Clothing,223.43
R00018,C00018,P0018,"Exceeded my expectations, excellent service.",5,Electronics,72.18
R00019,C00019,P0019,"Terrible experience, never buying again.",1,Electronics,370.32
R00020,C00020,P0020,"Exceeded my expectations, excellent service.",5,Books,113.14
R00021,C00021,P0021,"Not worth the money, poor quality.",2,Home Decor,52.94
R00022,C00022,P0022,"Five stars, would buy again.",5,Clothing,131.95
R00023,C00023,P0023,Amazing quality and very durable.,4,Books,459.51
R00024,C00024,P0024,"Worst purchase ever, do not recommend.",2,Electronics,207.52
R00025,C00025,P0025,"Loved it, highly recommend.",4,Clothing,495.7
R00026,C00026,P0026,"Exceeded my expectations, excellent service.",5,Electronics,323.29
R00027,C00027,P0027,"Neutral experience, might buy again.",3,Home Decor,445.45
R00028,C00028,P0028,"Broke within a week, very disappointed.",1,Home Decor,447.09
R00029,C00029,P0029,"Not worth the money, poor quality.",2,Clothing,51.27
R00030,C00030,P0030,"Loved it, highly recommend.",4,Electronics,462.17
R00031,C00031,P0031,"Average quality, nothing special.",3,Toys,307.83
R00032,C00032,P0032,"It does what it says, but nothing exceptional.",3,Home Decor,51.29
R00033,C00033,P0033,"Shipping took too long, bad customer service.",2,Clothing,128.91
R00034,C00034,P0034,"Shipping took too long, bad customer service.",2,Clothing,301.17
R00035,C00035,P0035,"Average quality, nothing special.",3,Books,374.48
R00036,C00036,P0036,"Not worth the money, poor quality.",1,Home Decor,469.44
R00037,C00037,P0037,"Broke within a week, very disappointed.",1,Electronics,124.4
R00038,C00038,P0038,"Five stars, would buy again.",4,Home Decor,240.63
R00039,C00039,P0039,"Worst purchase ever, do not recommend.",1,Books,142.16
R00040,C00040,P0040,"Average quality, nothing special.",3,Toys,87.68
R00041,C00041,P0041,"It's okay, not the best.",3,Clothing,379.88
R00042,C00042,P0042,"Five stars, would buy again.",5,Electronics,365.69
R00043,C00043,P0043,"Not bad, but not great either.",3,Clothing,463.48
R00044,C00044,P0044,"Not worth the money, poor quality.",1,Books,247.33
R00045,C00045,P0045,"Exceeded my expectations, excellent service.",4,Electronics,496.17
R00046,C00046,P0046,"Great product, works perfectly!",5,Home Decor,398.88
R00047,C00047,P0047,"Terrible experience, never buying again.",1,Toys,444.3
R00048,C00048,P0048,Amazing quality and very durable.,4,Toys,54.55
R00049,C00049,P0049,"Shipping took too long, bad customer service.",1,Books,254.33
R00050,C00050,P0050,Amazing quality and very durable.,5,Clothing,118.52
R00051,C00051,P0051,"Not bad, but not great either.",3,Toys,289.96
R00052,C00052,P0052,"Five stars, would buy again.",5,Clothing,5.05
R00053,C00053,P0053,"It does what it says, but nothing exceptional.",3,Toys,349.71
R00054,C00054,P0054,"Five stars, would buy again.",5,Toys,467.65
R00055,C00055,P0055,"Shipping took too long, bad customer service.",2,Toys,377.9
R00056,C00056,P0056,"Broke within a week, very disappointed.",1,Clothing,280.36
R00057,C00057,P0057,"Terrible experience, never buying again.",1,Electronics,86.33
R00058,C00058,P0058,"Broke within a week, very disappointed.",2,Toys,370.76
R00059,C00059,P0059,"It's okay, not the best.",3,Clothing,490.45
R00060,C00060,P0060,"Broke within a week, very disappointed.",1,Electronics,287.99
R00061,C00061,P0061,"Shipping took too long, bad customer service.",2,Clothing,335.31
R00062,C00062,P0062,"Not worth the money, poor quality.",1,Home Decor,100.31
R00063,C00063,P0063,"Loved it, highly recommend.",4,Toys,412.05
R00064,C00064,P0064,"Average quality, nothing special.",3,Clothing,120.94
R00065,C00065,P0065,"Five stars, would buy again.",4,Toys,27.38
R00066,C00066,P0066,"Average quality, nothing special.",3,Home Decor,93.8
R00067,C00067,P0067,"Worst purchase ever, do not recommend.",2,Clothing,414.5
R00068,C00068,P0068,"Not bad, but not great either.",3,Electronics,102.83
R00069,C00069,P0069,"Not bad, but not great either.",3,Toys,151.02
R00070,C00070,P0070,"Shipping took too long, bad customer service.",2,Toys,35.33
R00071,C00071,P0071,"It does what it says, but nothing exceptional.",3,Home Decor,227.49
R00072,C00072,P0072,"Broke within a week, very disappointed.",1,Toys,311.23
R00073,C00073,P0073,Amazing quality and very durable.,5,Books,20.59
R00074,C00074,P0074,"Not worth the money, poor quality.",2,Electronics,364.24
R00075,C00075,P0075,"Great product, works perfectly!",5,Books,363.41
R00076,C00076,P0076,"Not worth the money, poor quality.",2,Electronics,186.49
R00077,C00077,P0077,"Terrible experience, never buying again.",2,Home Decor,379.51
R00078,C00078,P0078,"Loved it, highly recommend.",4,Books,381.74
R00079,C00079,P0079,Amazing quality and very durable.,4,Books,418.2
R00080,C00080,P0080,"Average quality, nothing special.",3,Home Decor,218.75
R00081,C00081,P0081,"Exceeded my expectations, excellent service.",5,Electronics,345.52
R00082,C00082,P0082,"Not worth the money, poor quality.",2,Toys,417.64
R00083,C00083,P0083,"Neutral experience, might buy again.",3,Books,83.74
R00084,C00084,P0084,"Worst purchase ever, do not recommend.",1,Books,192.15
R00085,C00085,P0085,"Terrible experience, never buying again.",2,Home Decor,89.83
R00086,C00086,P0086,"Broke within a week, very disappointed.",1,Toys,22.39
R00087,C00087,P0087,"It's okay, not the best.",3,Electronics,91.67
R00088,C00088,P0088,"Exceeded my expectations, excellent service.",4,Clothing,422.24
R00089,C00089,P0089,"Not bad, but not great either.",3,Electronics,213.08
R00090,C00090,P0090,"Broke within a week, very disappointed.",1,Home Decor,46.99
R00091,C00091,P0091,"Terrible experience, never buying again.",2,Books,82.98
R00092,C00092,P0092,"Exceeded my expectations, excellent service.",5,Toys,41.24
R00093,C00093,P0093,"It does what it says, but nothing exceptional.",3,Books,210.45
R00094,C00094,P0094,"Worst purchase ever, do not recommend.",2,Home Decor,220.14
R00095,C00095,P0095,"Loved it, highly recommend.",4,Electronics,351.35
R00096,C00096,P0096,"Great product, works perfectly!",4,Books,87.26
R00097,C00097,P0097,"Five stars, would buy again.",4,Clothing,358.28
